Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,20
design__inferred_latch__count,0
design__instance__count,5409
design__instance__area,41632.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0010362704051658511
power__switching__total,0.0007889101398177445
power__leakage__total,4.774113904204569E-8
power__total,0.0018252283334732056
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.19601165689799904
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.19601165689799904
timing__hold__ws__corner:nom_tt_025C_1v80,0.5122403202149747
timing__setup__ws__corner:nom_tt_025C_1v80,32.42815885382348
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.512240
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,276
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,11
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3409683187858956
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.3409683187858956
timing__hold__ws__corner:nom_ss_100C_1v60,1.0236738413351365
timing__setup__ws__corner:nom_ss_100C_1v60,24.438789461629526
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.023674
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.1344923932512205
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.1344923932512205
timing__hold__ws__corner:nom_ff_n40C_1v95,0.32580600250977026
timing__setup__ws__corner:nom_ff_n40C_1v95,35.39815296631061
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.325806
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,309
design__max_fanout_violation__count,0
design__max_cap_violation__count,14
clock__skew__worst_hold,0.3538081594511235
clock__skew__worst_setup,-0.3409683187858956
timing__hold__ws,0.32361877982267295
timing__setup__ws,24.210694578858533
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.323619
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.73 357.45
design__core__bbox,5.52 10.88 340.86 345.44
design__io,135
design__die__area,123939
design__core__area,112191
design__instance__count__stdcell,5409
design__instance__area__stdcell,41632.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.371084
design__instance__utilization__stdcell,0.371084
design__instance__count__class:inverter,543
design__instance__count__class:sequential_cell,475
design__instance__count__class:multi_input_combinational_cell,2521
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,8379
design__instance__count__class:tap_cell,1562
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,131012
design__violations,0
design__instance__count__class:timing_repair_buffer,149
design__instance__count__class:clock_buffer,83
design__instance__count__class:clock_inverter,47
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,29
design__instance__count__class:antenna_cell,29
route__net,3805
route__net__special,2
route__drc_errors__iter:1,2537
route__wirelength__iter:1,181949
route__drc_errors__iter:2,1034
route__wirelength__iter:2,180628
route__drc_errors__iter:3,1043
route__wirelength__iter:3,180519
route__drc_errors__iter:4,47
route__wirelength__iter:4,180337
route__drc_errors__iter:5,0
route__wirelength__iter:5,180346
route__drc_errors,0
route__wirelength,180346
route__vias,32128
route__vias__singlecut,32128
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,1277.94
timing__unannotated_net__count__corner:nom_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,61
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.18990343168836393
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.18990343168836393
timing__hold__ws__corner:min_tt_025C_1v80,0.5089418475155262
timing__setup__ws__corner:min_tt_025C_1v80,32.56263262308293
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.508942
